currency_code,rate_date,rate,rate_source
USD,2026-01-01,0.97715100,ecb
USD,2026-02-01,0.99384161,ecb
USD,2026-03-01,1.02186310,ecb
USD,2026-04-01,0.98488912,ecb
USD,2026-05-01,0.98477699,ecb
USD,2026-06-01,0.99931366,ecb
SGD,2026-01-01,0.71932898,ecb
SGD,2026-02-01,0.75475213,ecb
SGD,2026-03-01,0.74896634,ecb
SGD,2026-04-01,0.75201419,ecb
SGD,2026-05-01,0.74197017,ecb
SGD,2026-06-01,0.72892511,ecb
GBP,2026-01-01,1.25621349,ecb
GBP,2026-02-01,1.23959788,ecb
GBP,2026-03-01,1.28713619,ecb
GBP,2026-04-01,1.24196437,ecb
GBP,2026-05-01,1.30760546,ecb
GBP,2026-06-01,1.25865230,ecb
EUR,2026-01-01,1.11348985,ecb
EUR,2026-02-01,1.05982421,ecb
EUR,2026-03-01,1.10153182,ecb
EUR,2026-04-01,1.08312833,ecb
EUR,2026-05-01,1.07372913,ecb
EUR,2026-06-01,1.06799600,ecb
JPY,2026-01-01,0.00675838,ecb
JPY,2026-02-01,0.00685043,ecb
JPY,2026-03-01,0.00673201,ecb
JPY,2026-04-01,0.00690074,ecb
JPY,2026-05-01,0.00653503,ecb
JPY,2026-06-01,0.00680111,ecb
SGD,2026-03-01,0.74194120,ecb_restated
